threshold,pattern,n_test_laundering_transactions,detected,missed,recall
0.85,Bipartite,66,0,66,0.0
0.85,Stack,117,0,117,0.0
0.85,Random,84,0,84,0.0
0.85,None,371,0,371,0.0
0.9,Fan-in,123,0,123,0.0
0.9,Fan-out,131,0,131,0.0
0.9,Cycle,99,0,99,0.0
0.9,Scatter-Gather,239,0,239,0.0
0.9,Gather-Scatter,381,0,381,0.0
0.9,Bipartite,66,0,66,0.0
0.9,Stack,117,0,117,0.0
0.9,Random,84,0,84,0.0
0.9,None,371,0,371,0.0
0.95,Fan-in,123,0,123,0.0
0.95,Fan-out,131,0,131,0.0
0.95,Cycle,99,0,99,0.0
0.95,Scatter-Gather,239,0,239,0.0
0.95,Gather-Scatter,381,0,381,0.0
0.95,Bipartite,66,0,66,0.0
0.95,Stack,117,0,117,0.0
0.95,Random,84,0,84,0.0
0.95,None,371,0,371,0.0
